ticker,current_price,entry_price,score,contraction_ratio,foreign_5d,inst_5d,signal_date,name,market,sector,theme,strategy_mode,stop_loss,tp1,tp2,time_stop,min_turnover,close,foreign_net_buy_5d,inst_net_buy_5d,supply_demand_score,ai_action_gpt,ai_conf_gpt,ai_action_gemini,ai_conf_gemini
032830,161900.0,161900.0,84,0.74,1194538739,1592718319,2026-01-14,삼성생명,KOSPI,Unknown,,vcp_flow,150500,186500,210500,2026-01-29,38538133635.0,161900.0,1194538739,1592718319,84,,0,,0
055550,79900.0,79900.0,87,0.55,2345367181,3127156242,2026-01-14,신한지주,KOSPI,Unknown,,vcp_flow,74300,91900,104000,2026-01-29,77797311650.0,79900.0,2345367181,3127156242,87,,0,,0
015760,53600.0,53600.0,83,0.82,5173577720,6898103627,2026-01-14,한국전력,KOSPI,Unknown,,vcp_flow,49850,61600,69700,2026-01-29,171751267920.0,53600.0,5173577720,6898103627,83,,0,,0
105560,128900.0,128900.0,89,0.41,2852814903,3803753204,2026-01-14,KB금융,KOSPI,Unknown,,vcp_flow,120000,148500,167500,2026-01-29,89257894205.0,128900.0,2852814903,3803753204,89,,0,,0
086790,96100.0,96100.0,91,0.31,1625951687,2167935583,2026-01-14,하나금융지주,KOSPI,Unknown,,vcp_flow,89400,110500,125000,2026-01-29,53000750065.0,96100.0,1625951687,2167935583,91,,0,,0
035720,58800.0,58800.0,83,0.84,3869848452,5159797937,2026-01-14,카카오,KOSPI,Unknown,,vcp_flow,54700,67600,76400,2026-01-29,133139499360.00002,58800.0,3869848452,5159797937,83,,0,,0
267260,922000.0,922000.0,94,0.73,3888156242,5184208323,2026-01-14,HD현대일렉트릭,KOSPI,Unknown,AI전력,vcp_flow,857000,1060000,1199000,2026-01-29,134434561099.99998,922000.0,3888156242,5184208323,94,,0,,0
009540,427500.0,427500.0,94,0.79,2637549486,3516732648,2026-01-14,HD한국조선해양,KOSPI,Unknown,조선,vcp_flow,397500,491500,556000,2026-01-29,92505763125.0,427500.0,2637549486,3516732648,94,,0,,0
064350,223000.0,223000.0,95,0.69,4424288066,5899050755,2026-01-14,현대로템,KOSPI,Unknown,방산,vcp_flow,207500,256500,290000,2026-01-29,137326265550.0,223000.0,4424288066,5899050755,95,,0,,0
316140,28050.0,28050.0,89,0.42,1214366731,1619155641,2026-01-14,우리금융지주,KOSPI,Unknown,,vcp_flow,26100,32250,36450,2026-01-29,37749444562.5,28050.0,1214366731,1619155641,89,,0,,0
298040,2125000.0,2125000.0,96,0.63,3878960550,5171947400,2026-01-14,효성중공업,KOSPI,Unknown,AI전력,vcp_flow,1976000,2444000,2762000,2026-01-29,128137287500.0,2125000.0,3878960550,5171947400,96,,0,,0
011200,20750.0,20750.0,84,0.76,821932740,1095910320,2026-01-14,HMM,KOSPI,Unknown,,vcp_flow,19300,23850,27000,2026-01-29,27741483212.5,20750.0,821932740,1095910320,84,,0,,0
033780,144300.0,144300.0,84,0.78,1125655844,1500874458,2026-01-14,KT&G,KOSPI,Unknown,,vcp_flow,134500,166000,188000,2026-01-29,36985258830.0,144300.0,1125655844,1500874458,84,,0,,0
024110,20700.0,20700.0,87,0.54,562125374,749500499,2026-01-14,기업은행,KOSPI,Unknown,,vcp_flow,19250,23800,26900,2026-01-29,18256788315.0,20700.0,562125374,749500499,87,,0,,0
009150,284500.0,284500.0,86,0.66,4910615664,6547487552,2026-01-14,삼성전기,KOSPI,Unknown,,vcp_flow,264500,327000,370000,2026-01-29,161929732725.0,284500.0,4910615664,6547487552,86,,0,,0
066570,92500.0,92500.0,85,0.69,2096372973,2795163964,2026-01-14,LG전자,KOSPI,Unknown,,vcp_flow,86000,106500,120000,2026-01-29,71865215625.0,92500.0,2096372973,2795163964,85,,0,,0
018260,180700.0,180700.0,87,0.54,733118475,977491301,2026-01-14,삼성에스디에스,KOSPI,Unknown,,vcp_flow,168000,207500,234500,2026-01-29,24718368609.999996,180700.0,733118475,977491301,87,,0,,0
030200,53000.0,53000.0,87,0.6,658868652,878491536,2026-01-14,KT,KOSPI,Unknown,,vcp_flow,49300,60900,68900,2026-01-29,20032137050.0,53000.0,658868652,878491536,87,,0,,0
003550,82900.0,82900.0,85,0.7,615851631,821135509,2026-01-14,LG,KOSPI,Unknown,,vcp_flow,77100,95300,108000,2026-01-29,20451674555.0,82900.0,615851631,821135509,85,,0,,0
323410,21400.0,21400.0,84,0.77,411489566,548652754,2026-01-14,카카오뱅크,KOSPI,Unknown,,vcp_flow,19900,24600,27800,2026-01-29,14105934120.000002,21400.0,411489566,548652754,84,,0,,0
010950,87200.0,87200.0,95,0.7,686536447,915381930,2026-01-14,S-Oil,KOSPI,Unknown,환율수혜,vcp_flow,81100,100500,113500,2026-01-29,24249927600.0,87200.0,686536447,915381930,95,,0,,0
071050,174300.0,174300.0,87,0.58,1330827142,1774436190,2026-01-14,한국금융지주,KOSPI,Unknown,,vcp_flow,162500,200500,227000,2026-01-29,43613886330.0,174300.0,1330827142,1774436190,87,,0,,0
161390,59500.0,59500.0,90,0.37,445325512,593767350,2026-01-14,한국타이어앤테크놀로지,KOSPI,Unknown,,vcp_flow,55300,68400,77400,2026-01-29,13309810850.0,59500.0,445325512,593767350,90,,0,,0
006260,221000.0,221000.0,95,0.72,1259535576,1679380768,2026-01-14,LS,KOSPI,Unknown,AI전력,vcp_flow,205500,254000,287500,2026-01-29,43211334400.0,221000.0,1259535576,1679380768,95,,0,,0
005940,21600.0,21600.0,87,0.53,520174690,693566254,2026-01-14,NH투자증권,KOSPI,Unknown,,vcp_flow,20100,24850,28100,2026-01-29,16553467800.0,21600.0,520174690,693566254,87,,0,,0
016360,81000.0,81000.0,86,0.63,1057890585,1410520780,2026-01-14,삼성증권,KOSPI,Unknown,,vcp_flow,75300,93200,105500,2026-01-29,38186271450.0,81000.0,1057890585,1410520780,86,,0,,0
090430,119900.0,119900.0,86,0.62,653008444,870677925,2026-01-14,아모레퍼시픽,KOSPI,Unknown,,vcp_flow,111500,138000,156000,2026-01-29,23223796695.0,119900.0,653008444,870677925,86,,0,,0
032640,14990.0,14990.0,86,0.64,352186746,469582328,2026-01-14,LG유플러스,KOSPI,Unknown,,vcp_flow,13950,17250,19500,2026-01-29,10440377605.0,14990.0,352186746,469582328,86,,0,,0
011070,282500.0,282500.0,84,0.73,1264579497,1686105996,2026-01-14,LG이노텍,KOSPI,Unknown,,vcp_flow,262500,325000,367000,2026-01-29,42549585000.0,282500.0,1264579497,1686105996,84,,0,,0
064400,61800.0,61800.0,87,0.55,1601266205,2135021607,2026-01-14,LG씨엔에스,KOSPI,Unknown,,vcp_flow,57500,71100,80300,2026-01-29,35820278070.0,61800.0,1601266205,2135021607,87,,0,,0
454910,87900.0,87900.0,88,0.51,1335214466,1780285955,2026-01-14,두산로보틱스,KOSPI,Unknown,,vcp_flow,81700,101000,114500,2026-01-29,46478294070.00001,87900.0,1335214466,1780285955,88,,0,,0
088980,11130.0,11130.0,83,0.84,488929462,651905950,2026-01-14,맥쿼리인프라,KOSPI,Unknown,,vcp_flow,10350,12800,14500,2026-01-29,17202875256.0,11130.0,488929462,651905950,83,,0,,0
001040,186000.0,186000.0,84,0.76,541604397,722139196,2026-01-14,CJ,KOSPI,Unknown,,vcp_flow,173000,214000,242000,2026-01-29,18446159400.0,186000.0,541604397,722139196,84,,0,,0
078930,60000.0,60000.0,87,0.55,459476856,612635808,2026-01-14,GS,KOSPI,Unknown,,vcp_flow,55800,69000,78000,2026-01-29,14499489000.0,60000.0,459476856,612635808,87,,0,,0
138930,15170.0,15170.0,84,0.75,447823023,597097365,2026-01-14,BNK금융지주,KOSPI,Unknown,,vcp_flow,14100,17400,19700,2026-01-29,15487542991.0,15170.0,447823023,597097365,84,,0,,0
051900,263000.0,263000.0,87,0.58,488172604,650896806,2026-01-14,LG생활건강,KOSPI,Unknown,,vcp_flow,244500,302500,342000,2026-01-29,15545088400.0,263000.0,488172604,650896806,87,,0,,0
022100,29750.0,29750.0,85,0.69,1577371870,2103162493,2026-01-14,포스코DX,KOSPI,Unknown,,vcp_flow,27650,34200,38700,2026-01-29,56982770687.5,29750.0,1577371870,2103162493,85,,0,,0
017800,87800.0,87800.0,90,0.35,691822417,922429890,2026-01-14,현대엘리베이터,KOSPI,Unknown,,vcp_flow,81700,101000,114000,2026-01-29,23324087560.0,87800.0,691822417,922429890,90,,0,,0
071970,92600.0,92600.0,83,0.82,1038038147,1384050863,2026-01-14,HD현대마린엔진,KOSPI,Unknown,,vcp_flow,86100,106500,120500,2026-01-29,37077669680.0,92600.0,1038038147,1384050863,83,,0,,0
103590,63100.0,63100.0,95,0.72,1272936567,1697248756,2026-01-14,일진전기,KOSPI,Unknown,AI전력,vcp_flow,58700,72600,82000,2026-01-29,32717084980.0,63100.0,1272936567,1697248756,95,,0,,0
439260,68300.0,68300.0,83,0.82,553446948,737929264,2026-01-14,대한조선,KOSPI,Unknown,,vcp_flow,63500,78500,88800,2026-01-29,14864726625.0,68300.0,553446948,737929264,83,,0,,0
097950,213500.0,213500.0,87,0.6,358232674,477643566,2026-01-14,CJ제일제당,KOSPI,Unknown,,vcp_flow,198500,245500,277500,2026-01-29,11613321825.0,213500.0,358232674,477643566,87,,0,,0
012510,94600.0,94600.0,84,0.77,402366531,536488708,2026-01-14,더존비즈온,KOSPI,Unknown,,vcp_flow,88000,109000,123000,2026-01-29,12880225160.0,94600.0,402366531,536488708,84,,0,,0
204320,62100.0,62100.0,85,0.68,3723588607,4964784809,2026-01-14,HL만도,KOSPI,Unknown,,vcp_flow,57800,71400,80700,2026-01-29,129814752870.0,62100.0,3723588607,4964784809,85,,0,,0
004170,282000.0,282000.0,85,0.67,638470785,851294380,2026-01-14,신세계,KOSPI,Unknown,,vcp_flow,262500,324500,366500,2026-01-29,20750067600.0,282000.0,638470785,851294380,85,,0,,0
097230,24850.0,24850.0,85,0.68,1219977590,1626636786,2026-01-14,HJ중공업,KOSPI,Unknown,,vcp_flow,23100,28600,32300,2026-01-29,40067536145.0,24850.0,1219977590,1626636786,85,,0,,0
298380,192200.0,192200.0,90,0.37,5579902811,7439870415,2026-01-14,에이비엘바이오,KOSDAQ,Unknown,,vcp_flow,178500,221000,249500,2026-01-29,183024689130.0,192200.0,5579902811,7439870415,90,,0,,0
277810,459000.0,459000.0,86,0.66,3322555038,4430073384,2026-01-14,레인보우로보틱스,KOSDAQ,Unknown,,vcp_flow,427000,528000,597000,2026-01-29,111458281500.0,459000.0,3322555038,4430073384,86,,0,,0
028300,52500.0,52500.0,84,0.73,880361370,1173815160,2026-01-14,HLB,KOSDAQ,Unknown,,vcp_flow,48800,60400,68200,2026-01-29,32173863750.0,52500.0,880361370,1173815160,84,,0,,0
214150,58100.0,58100.0,88,0.48,366930015,489240020,2026-01-14,클래시스,KOSDAQ GLOBAL,Unknown,,vcp_flow,54000,66800,75500,2026-01-29,11634713825.0,58100.0,366930015,489240020,88,,0,,0
058470,64600.0,64600.0,97,0.54,905849727,1207799636,2026-01-14,리노공업,KOSDAQ GLOBAL,Unknown,반도체,vcp_flow,60100,74300,84000,2026-01-29,30496035310.0,64600.0,905849727,1207799636,97,,0,,0
145020,233500.0,233500.0,88,0.49,405948716,541264955,2026-01-14,휴젤,KOSDAQ GLOBAL,Unknown,,vcp_flow,217000,268500,303500,2026-01-29,13952955950.0,233500.0,405948716,541264955,88,,0,,0
257720,43450.0,43450.0,85,0.68,664350048,885800064,2026-01-14,실리콘투,KOSDAQ,Unknown,,vcp_flow,40400,49950,56500,2026-01-29,23534121132.5,43450.0,664350048,885800064,85,,0,,0
237690,125500.0,125500.0,83,0.81,802336258,1069781678,2026-01-14,에스티팜,KOSDAQ GLOBAL,Unknown,,vcp_flow,116500,144500,163000,2026-01-29,23820107075.0,125500.0,802336258,1069781678,83,,0,,0
095340,107200.0,107200.0,97,0.54,567673397,756897863,2026-01-14,ISC,KOSDAQ GLOBAL,Unknown,반도체,vcp_flow,99500,123000,139000,2026-01-29,19360636240.0,107200.0,567673397,756897863,97,,0,,0
005290,40400.0,40400.0,95,0.72,745953906,994605208,2026-01-14,동진쎄미켐,KOSDAQ,Unknown,반도체,vcp_flow,37550,46450,52500,2026-01-29,23915989980.0,40400.0,745953906,994605208,95,,0,,0
098460,28100.0,28100.0,86,0.61,4719334731,6292446308,2026-01-14,고영,KOSDAQ,Unknown,,vcp_flow,26150,32300,36550,2026-01-29,131340466395.0,28100.0,4719334731,6292446308,86,,0,,0
058610,87100.0,87100.0,86,0.64,4226370615,5635160820,2026-01-14,에스피지,KOSDAQ,Unknown,,vcp_flow,81000,100000,113000,2026-01-29,146819283195.0,87100.0,4226370615,5635160820,86,,0,,0
178320,27300.0,27300.0,84,0.75,334749313,446332417,2026-01-14,서진시스템,KOSDAQ,Unknown,,vcp_flow,25400,31400,35500,2026-01-29,10223637060.0,27300.0,334749313,446332417,84,,0,,0
388720,86600.0,86600.0,83,0.81,546343812,728458416,2026-01-14,유일로보틱스,KOSDAQ,Unknown,,vcp_flow,80500,99600,112500,2026-01-29,15240188420.000002,86600.0,546343812,728458416,83,,0,,0
